date,open,high,close,low,volume,amount
2010-06-01,986.015,994.793,973.2330000000001,948.118,135628512,4924176896
2010-06-02,967.6089999999999,997.1189999999999,997.1189999999999,952.6110000000001,107462760,4001206272
2010-06-03,1002.355,1026.702,998.3939999999999,997.775,161680544,6240835584
2010-06-04,989.681,1027.681,1027.681,986.5039999999999,150029504,5269440512
2010-06-07,1005.028,1075.225,1069.468,1001.702,265527536,9106095104
2010-06-08,1067.3239999999998,1075.503,1067.154,1050.965,197672080,6621994496
2010-06-09,1070.8519999999999,1102.098,1077.823,1069.431,254156816,8994866176
2010-06-10,1077.675,1119.106,1117.478,1076.281,219740464,8242731008
2010-06-11,1122.443,1128.228,1122.1989999999998,1118.7060000000001,222487424,8449039360
2010-06-17,1126.13,1129.685,1064.839,1064.839,176428352,6757409280
2010-06-18,1052.067,1053.138,1000.2769999999999,993.174,163065088,5827721216
2010-06-21,991.957,1043.156,1040.802,976.414,157479760,5604269568
2010-06-22,1037.039,1057.365,1034.995,1033.647,142716208,5067480064
2010-06-23,1026.865,1056.348,1047.337,1023.737,125735944,4608672256
2010-06-24,1046.759,1059.754,1050.601,1041.539,106913296,3904947968
2010-06-25,1046.212,1046.212,1016.283,999.163,123729832,4515664384
2010-06-28,1009.2230000000001,1014.413,987.827,984.216,92067328,3463552256
2010-06-29,985.572,992.227,913.309,912.54,149779968,5293896704
2010-06-30,898.291,921.81,919.314,881.36,122366104,3852158464
2010-07-01,914.395,921.2139999999999,882.19,882.19,104957288,3663773696
2010-07-02,878.951,885.3380000000001,873.12,832.623,128883352,4212661760
2010-07-05,857.3689999999999,870.863,862.268,842.7330000000001,91586432,2851736064
2010-07-06,859.258,898.445,893.7180000000001,857.797,116523160,3751055616
2010-07-07,896.5319999999999,908.549,908.549,890.336,104616296,3342473728
2010-07-08,911.997,914.296,905.5089999999999,887.0269999999999,109808784,3780698880
2010-07-09,903.4960000000001,936.53,932.1469999999999,896.8860000000001,145146032,4743256576
2010-07-12,931.535,941.071,930.173,924.058,126361752,4188147200
2010-07-13,924.948,936.6439999999999,931.08,906.304,146865744,4744135680
2010-07-14,929.7489999999999,937.932,922.362,916.074,142358624,4648080384
2010-07-15,920.046,930.555,892.557,892.557,117588080,3960490752
2010-07-16,885.067,895.056,892.298,869.0219999999999,100931232,3264221696
2010-07-19,881.6560000000001,910.176,908.049,878.065,93880256,2992584192
2010-07-20,909.543,937.545,937.0169999999999,909.543,136580864,4559580672
2010-07-21,940.097,959.038,941.25,938.16,166574560,5960653824
2010-07-22,938.2180000000001,950.209,950.209,932.0189999999999,132660272,4356669440
2010-07-23,951.84,964.743,960.5880000000001,948.1260000000001,172125136,5339086336
2010-07-26,962.76,966.732,966.154,954.7589999999999,147603568,4626044928
2010-07-27,963.544,968.04,957.967,955.7310000000001,136182128,4574086656
2010-07-28,955.188,972.534,972.534,954.5210000000001,156618272,5187227648
2010-07-29,974.295,982.015,975.362,965.6060000000001,179419312,5897853440
2010-07-30,971.663,971.663,968.431,955.918,145848672,5049473024
2010-08-02,968.45,994.2280000000001,994.2280000000001,968.45,181036432,6104407552
2010-08-03,995.195,996.263,975.645,975.645,175705872,5951414784
2010-08-04,971.4069999999999,978.0139999999999,978.0139999999999,955.93,144616544,4758297088
2010-08-05,980.27,998.1010000000001,987.3510000000001,978.3330000000001,177039968,6033987072
2010-08-06,987.967,1011.39,1011.39,985.63,189906128,6225316864
2010-08-09,1013.245,1032.339,1032.339,1013.245,209199504,6918898688
2010-08-10,1031.978,1034.3319999999999,993.992,993.992,217707152,7106822656
