date,open,high,close,low,volume,amount
2000-01-04,1368.693,1407.5179999999998,1406.371,1361.214,903402300,5801550000
2000-01-05,1407.829,1433.78,1409.682,1398.3229999999999,1057998400,8653075000
2000-01-06,1406.036,1463.955,1463.942,1400.253,1348051500,10238351000
2000-01-07,1477.154,1522.825,1516.604,1477.154,3451569900,22007478000
2000-01-10,1531.7120000000002,1546.723,1545.112,1506.404,3125353900,20929425000
2000-01-11,1547.6779999999999,1547.7079999999999,1479.781,1468.757,2192455400,17011469000
2000-01-12,1473.761,1489.28,1438.02,1434.996,1522286900,13360337000
2000-01-13,1437.453,1444.066,1424.442,1418.8139999999999,861291200,7797784000
2000-01-14,1426.224,1433.474,1408.848,1401.7060000000001,744701200,6558970000
2000-01-17,1408.9879999999998,1433.3829999999998,1433.33,1402.6629999999998,764983100,6609708000
2000-01-18,1436.888,1443.592,1426.6229999999998,1421.642,776712800,7318475000
2000-01-19,1425.874,1443.672,1440.724,1425.1429999999998,800659600,6845775000
2000-01-20,1443.094,1466.901,1466.8629999999998,1443.094,1007080200,9274508000
2000-01-21,1471.905,1476.4560000000001,1465.085,1458.925,1505097300,14361923000
2000-01-24,1465.858,1477.412,1477.344,1449.4720000000002,1624151500,15354086000
2000-01-25,1483.033,1490.464,1476.506,1467.4379999999999,1363598700,13492627000
2000-01-26,1477.295,1482.464,1481.1170000000002,1469.98,1038443700,9990098000
2000-01-27,1490.4470000000001,1506.922,1506.767,1485.234,1898178600,16944505000
2000-01-28,1514.558,1536.346,1534.997,1510.745,2938895600,22548408000
2000-02-14,1591.445,1674.132,1673.943,1587.818,4358082000,26584344000
2000-02-15,1709.224,1746.443,1670.67,1663.005,5254347200,38932873000
2000-02-16,1674.9360000000001,1695.881,1693.109,1649.6989999999998,3743555000,36010070000
2000-02-17,1734.2679999999998,1770.88,1640.649,1615.629,5143904700,49913942000
2000-02-18,1623.961,1668.164,1668.0910000000001,1583.582,2679965100,26994348000
2000-02-21,1681.361,1697.01,1677.136,1652.476,3105240800,33850722000
2000-02-22,1681.299,1687.511,1632.2939999999999,1627.467,2425177800,27084218000
2000-02-23,1618.0079999999998,1630.546,1594.93,1586.634,1918606000,19419189000
2000-02-24,1593.9479999999999,1634.3229999999999,1634.309,1593.9289999999999,1393287800,15272397000
2000-02-25,1639.9189999999999,1650.365,1631.576,1618.1770000000001,1705805500,19153041000
2000-02-28,1639.799,1704.884,1704.855,1639.6960000000001,2612794300,25836367000
2000-02-29,1728.136,1733.141,1714.578,1678.35,2868075700,33286604000
2000-03-01,1720.5970000000002,1721.14,1697.744,1692.509,2248835500,24727805000
2000-03-02,1697.5620000000001,1721.598,1713.014,1682.535,1959349600,21288574000
2000-03-03,1728.355,1750.645,1738.021,1721.705,2481549000,26829864000
2000-03-06,1756.3129999999999,1762.829,1681.085,1678.744,2650721500,27773390000
2000-03-07,1661.9479999999999,1694.8870000000002,1694.7979999999998,1654.444,1768561500,17261770000
2000-03-08,1699.4620000000002,1726.043,1726.033,1690.1170000000002,1974594100,18284691000
2000-03-09,1734.767,1741.224,1732.346,1714.921,1787737800,19294248000
2000-03-10,1731.94,1743.139,1705.049,1701.793,1587236200,17001820000
2000-03-13,1706.769,1729.007,1728.875,1706.349,1982917200,14365601000
2000-03-14,1690.6529999999998,1700.3729999999998,1685.3470000000002,1636.8929999999998,2287043000,19944699000
2000-03-15,1680.296,1695.162,1681.471,1676.5439999999999,1678215400,16438544000
2000-03-16,1671.0970000000002,1671.1779999999999,1607.527,1596.0720000000001,1979175900,14847360000
2000-03-17,1602.3629999999998,1661.976,1658.601,1602.335,1533750900,14613348000
2000-03-20,1646.31,1699.281,1699.2479999999998,1641.765,1817543400,17931759000
2000-03-21,1704.085,1713.205,1710.3239999999998,1692.684,1635110000,17994323000
2000-03-22,1713.241,1726.59,1720.4460000000001,1711.158,1465842100,17276807000
2000-03-23,1724.1879999999999,1747.283,1747.241,1711.405,1674950200,17919475000
2000-03-24,1761.444,1770.263,1730.499,1729.483,2203771900,23299487000
2000-03-27,1736.6960000000001,1776.021,1775.914,1736.6960000000001,1992731300,20743946000
2000-03-28,1788.8270000000002,1799.9520000000002,1791.441,1774.4820000000002,2448516600,23133804000
