date,open,high,close,low,volume,amount
2008-09-01,3203.2870000000003,3203.2870000000003,3044.5820000000003,3033.4970000000003,133086658,1493482191
2008-09-02,3019.782,3019.782,2982.577,2950.909,115769135,1515721057
2008-09-03,2973.377,2990.425,2918.639,2905.417,146281203,1530605456
2008-09-04,2914.453,2981.625,2955.2740000000003,2903.278,127947296,1276620151
2008-09-05,2892.677,2910.595,2864.567,2855.0170000000003,143645379,1390883616
2008-09-08,2866.027,2871.2909999999997,2741.5190000000002,2736.906,154164369,1408869074
2008-09-09,2749.8109999999997,2767.888,2750.8059999999996,2718.7459999999996,120953493,1086936973
2008-09-10,2737.882,2808.748,2755.8779999999997,2707.47,125340977,1157569946
2008-09-11,2757.158,2775.922,2724.095,2715.63,131436837,1149310483
2008-09-12,2721.321,2783.223,2758.989,2718.468,110894258,925344541
2008-09-16,2752.4,2753.438,2726.2690000000002,2708.9120000000003,148557427,1192108616
2008-09-17,2714.368,2735.64,2667.763,2663.203,143608770,1269398631
2008-09-18,2624.953,2626.244,2574.127,2473.35,255215026,2218524782
2008-09-19,2795.171,2824.151,2824.151,2769.48,272496969,2947514564
2008-09-22,2967.534,3062.5820000000003,2925.888,2842.724,571567000,5742581013
2008-09-23,2837.361,2837.361,2736.591,2728.5190000000002,306752854,3142268247
2008-09-24,2666.433,2747.241,2747.241,2633.583,216367305,2137702415
2008-09-25,2749.347,2853.027,2826.259,2739.885,315944589,3056709273
2008-09-26,2830.275,2857.755,2838.735,2788.49,249623054,2417944212
2008-10-06,2794.304,2794.304,2716.986,2716.986,194080712,1940703126
2008-10-07,2630.5840000000003,2721.092,2721.092,2611.598,190774272,1813256595
2008-10-08,2659.485,2687.2740000000003,2642.167,2624.4709999999995,159704507,1514226575
2008-10-09,2684.6540000000005,2693.71,2600.9970000000003,2594.644,146734033,1375780931
2008-10-10,2512.978,2512.978,2444.541,2427.576,212797568,1907563609
2008-10-13,2420.676,2469.534,2469.534,2335.43,208469946,1693397013
2008-10-14,2546.02,2557.08,2392.917,2392.917,264013718,2124466396
2008-10-15,2374.494,2374.494,2348.419,2319.824,166869344,1342497170
2008-10-16,2276.797,2276.797,2230.758,2219.8,225444440,1637863584
2008-10-17,2243.887,2265.345,2238.986,2207.84,151459723,1112633452
2008-10-20,2238.155,2318.525,2300.596,2219.981,177789913,1344281191
2008-10-21,2312.906,2363.9429999999998,2326.311,2303.4320000000002,223599347,1673058390
2008-10-22,2304.14,2360.347,2308.98,2296.751,176701757,1319023471
2008-10-23,2272.321,2327.179,2323.652,2249.605,156189552,1242857856
2008-10-24,2323.177,2354.054,2299.923,2281.808,150066208,1238603136
2008-10-27,2269.39,2269.39,2158.311,2142.089,185489584,1410561152
2008-10-28,2123.139,2233.924,2230.422,2114.268,195535296,1389432832
2008-10-29,2254.084,2268.385,2173.974,2173.561,195817920,1375712640
2008-10-30,2180.604,2237.299,2210.627,2162.452,183773824,1283033472
2008-10-31,2209.9410000000003,2222.314,2201.019,2187.033,134478272,997389312
2008-11-03,2186.075,2216.699,2198.9,2180.428,117022584,864933952
2008-11-04,2194.9179999999997,2197.081,2162.328,2137.2929999999997,131458568,936795648
2008-11-05,2177.28,2255.036,2225.422,2170.6420000000003,212608640,1451579776
2008-11-06,2181.735,2191.218,2179.319,2165.71,155080224,1036461824
2008-11-07,2152.308,2192.9970000000003,2177.5389999999998,2137.817,195415376,1252036224
2008-11-10,2207.482,2322.59,2320.474,2207.482,391253600,2646259712
2008-11-11,2307.263,2335.867,2291.3779999999997,2286.03,387124224,2693245696
2008-11-12,2274.819,2302.823,2282.613,2231.8320000000003,290744640,2084627200
2008-11-13,2383.222,2383.222,2383.222,2383.222,0,0
2008-11-14,2395.33,2517.363,2516.835,2372.473,625222720,4848706560
2008-11-17,2521.641,2628.6690000000003,2628.6690000000003,2508.478,615855040,5144380928
2008-11-18,2606.841,2642.365,2437.97,2429.871,731910720,5909250560
2008-11-19,2422.522,2607.552,2598.843,2418.687,569457472,4644646912
2008-11-20,2561.9320000000002,2664.315,2577.945,2543.426,601352832,4969907200
2008-11-21,2499.1279999999997,2588.601,2517.5860000000002,2417.5860000000002,519360800,4066799616
2008-11-24,2542.4570000000003,2575.877,2462.395,2461.261,363886112,3133839104
2008-11-25,2504.516,2526.4770000000003,2472.4539999999997,2428.5820000000003,299786720,2604399616
2008-11-26,2481.706,2497.2529999999997,2473.54,2452.584,250386032,2057057536
2008-11-27,2542.32,2542.32,2542.32,2542.32,0,0
2008-11-28,2516.223,2590.342,2574.035,2501.639,348806816,2978003712
2008-12-01,2568.879,2645.732,2643.9759999999997,2549.528,426895008,3549640704
